,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
297,A Gentleman,"$410,055",FIP,Action,Not Yet Rated,"August 25, 2017",2 hrs. 25 min.,N/A,N/A,N/A,N/A
298,"Love, Kennedy","$407,871",Purdie Distribution,Drama,PG,"June 2, 2017",1 hrs. 32 min.,N/A,N/A,N/A,N/A
299,Chasing Trane: The John Coltrane Documentary,"$406,284",Abramorama,Documentary,Not Yet Rated,"April 14, 2017",1 hrs. 39 min.,N/A,N/A,N/A,N/A
300,Rifftrax: Samurai Cop,"$384,756",Fathom,Comedy,Unrated,"April 13, 2017",2 hrs. 0 min.,N/A,N/A,N/A,N/A
301,Box Offic,,,,,,,,N/A,N/A,N/A
302,Tom of Finland,"$378,296Domestic Lifetime Gross $381,610",Kino Lorber,Drama,Unrated,"October 13, 2017",1 hrs. 56 min.,N/A,N/A,N/A,N/A
303,Rebel in the Rye,"$378,294",IFC,Drama,PG-13,"September 8, 2017",1 hrs. 46 min.,N/A,Danny Strong,N/A,"Nicholas Hoult,Sarah Paulson,Kevin Spacey"
304,Boston: An American Running Story,"$364,369Domestic Lifetime Gross $383,868",Fathom,Documentary,Unrated,"April 19, 2017",2 hrs. 20 min.,N/A,N/A,N/A,N/A
305,Kung Fu Yoga,"$362,657",Well Go USA,Action Comedy,Not Yet Rated,"January 27, 2017",1 hrs. 48 min.,$65 million,N/A,N/A,Jackie Chan
306,Disney Junior HalloVeen Party,"$359,745",Fathom,Animation,Unrated,"October 21, 2017",1 hrs. 0 min.,N/A,N/A,N/A,N/A
307,Letters from Baghdad,"$359,735",Vitagraph,Documentary,Unrated,"June 2, 2017",1 hrs. 35 min.,N/A,N/A,N/A,N/A
308,Ok Jaanu,"$355,922",FIP,Romance,Unrated,"January 13, 2017",2 hrs. 15 min.,N/A,N/A,N/A,N/A
309,Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957",Abramorama,Documentary,R,"May 25, 2017",4 hrs. 1 min.,N/A,N/A,N/A,N/A
310,Pearl Jam - Let's Play Two,"$348,833",Abramorama,Documentary,Unrated,"September 29, 2017",2 hrs. 3 min.,N/A,N/A,N/A,N/A
311,Canelo vs. Chavez Jr.,"$343,387",Fathom,Documentary,Unrated,"May 6, 2017",N/A,N/A,N/A,N/A,N/A
312,This Is Not What I Expected,,Well Go USA,Romantic Comedy,Unrated,"May 5, 2017",1 hrs. 45 min.,N/A,N/A,N/A,N/A
313,God's Own Country,"$335,609",Orion Pictures,Drama,Unrated,"October 24, 2017",1 hrs. 44 min.,N/A,N/A,N/A,N/A
314,In the Fade,"$321,011",Magnolia,Crime Drama,R,"December 27, 2017",1 hrs. 45 min.,N/A,N/A,N/A,N/A
315,Chuck,"$320,725",IFC,Sports Drama,R,"May 5, 2017",1 hrs. 41 min.,N/A,N/A,N/A,"Naomi Watts,Elisabeth Moss,Ron Perlman,Liev Schreiber"
